2017-07-05 10:16:58,581 INFO  [org.jboss.modules] (main) JBoss Modules version 1.5.2.Final
2017-07-05 10:16:58,815 INFO  [org.jboss.msc] (main) JBoss MSC version 1.2.6.Final
2017-07-05 10:16:58,862 INFO  [org.jboss.as] (MSC service thread 1-7) WFLYSRV0049: WildFly Full 10.1.0.Final (WildFly Core 2.2.0.Final) starting
2017-07-05 10:16:59,690 INFO  [org.jboss.as.host.controller] (Controller Boot Thread) WFLYHC0003: Creating http management service using network interface (management) port (9990) securePort (-1)
2017-07-05 10:16:59,705 INFO  [org.xnio] (MSC service thread 1-4) XNIO version 3.4.0.Final
2017-07-05 10:16:59,721 INFO  [org.xnio.nio] (MSC service thread 1-4) XNIO NIO Implementation Version 3.4.0.Final
2017-07-05 10:16:59,846 WARN  [org.jboss.as.domain.management.security] (MSC service thread 1-3) WFLYDM0111: Keystore C:\wildfly-10.1.0.Final\domain\configuration\application.keystore not found, it will be auto generated on first use with a self signed certificate for host localhost
2017-07-05 10:17:00,852 INFO  [org.jboss.remoting] (MSC service thread 1-8) JBoss Remoting version 4.0.21.Final
2017-07-05 10:17:00,899 INFO  [org.jboss.as.remoting] (MSC service thread 1-8) WFLYRMT0001: Listening on 127.0.0.1:9999
2017-07-05 10:17:03,161 INFO  [org.jboss.as.host.controller] (Controller Boot Thread) WFLYHC0023: Starting server server-one
2017-07-05 10:17:06,506 INFO  [org.jboss.as.host.controller] (management task-4) WFLYHC0021: Server [Server:server-one] connected using connection [Channel ID 0acc81d6 (inbound) of Remoting connection 1e44fbcf to /127.0.0.1:45988 of endpoint "master:MANAGEMENT" <477bd997>]
2017-07-05 10:17:06,784 INFO  [org.jboss.as.host.controller] (Controller Boot Thread) WFLYHC0023: Starting server server-two
2017-07-05 10:17:06,818 INFO  [org.jboss.as.host.controller] (server-registration-threads - 1) WFLYHC0020: Registering server server-one
2017-07-05 10:17:13,670 INFO  [org.jboss.as.host.controller] (management task-8) WFLYHC0021: Server [Server:server-two] connected using connection [Channel ID 61f25556 (inbound) of Remoting connection 21153b48 to /127.0.0.1:46067 of endpoint "master:MANAGEMENT" <477bd997>]
2017-07-05 10:17:13,717 INFO  [org.jboss.as.host.controller] (server-registration-threads - 1) WFLYHC0020: Registering server server-two
2017-07-05 10:17:13,764 INFO  [org.jboss.as] (Controller Boot Thread) WFLYSRV0060: Http management interface listening on http://127.0.0.1:9990/management
2017-07-05 10:17:13,764 INFO  [org.jboss.as] (Controller Boot Thread) WFLYSRV0051: Admin console listening on http://127.0.0.1:9990
2017-07-05 10:17:13,764 INFO  [org.jboss.as] (Controller Boot Thread) WFLYSRV0025: WildFly Full 10.1.0.Final (WildFly Core 2.2.0.Final) (Host Controller) started in 15666ms - Started 55 of 57 services (19 services are lazy, passive or on-demand)
